,시가,고가,저가,종가,등락률,기관,프로그램
0,88700.0,90000.0,88700.0,89700.0,0.0,-5820240.0,-1091335.0
1,89800.0,91200.0,89100.0,89700.0,-0.99,-1794818.0,-2190774.0
2,90300.0,91400.0,87800.0,90600.0,-0.44,-5885518.0,-4498684.0
3,90000.0,96800.0,89500.0,91000.0,2.48,-13590286.0,-6795684.0
4,83300.0,90000.0,83000.0,88800.0,7.12,-5082378.0,6355911.0
5,82800.0,84200.0,82700.0,82900.0,0.85,2989615.0,-2405575.0
6,83300.0,84500.0,82100.0,82200.0,-2.03,-5326921.0,-4502600.0
7,81600.0,83900.0,81600.0,83900.0,1.08,-2477973.0,-4219395.0
8,81000.0,84400.0,80200.0,83000.0,2.47,-3986032.0,-6770185.0
9,77400.0,81300.0,77300.0,81000.0,3.45,1204866.0,-49981.0
10,78800.0,78900.0,77300.0,78300.0,-0.51,-6166523.0,-2483300.0
11,79000.0,80100.0,78200.0,78700.0,1.16,2397653.0,-4354850.0
12,74100.0,78800.0,74000.0,77800.0,5.28,3706372.0,-601740.0
13,72400.0,74000.0,72300.0,73900.0,2.21,1824496.0,17316.0
14,72500.0,73200.0,72100.0,72300.0,-0.96,-691490.0,-783859.0
15,73100.0,73400.0,72000.0,73000.0,0.0,87322.0,-381879.0
16,73300.0,73700.0,73000.0,73000.0,-0.41,-623279.0,-833563.0
17,73400.0,73700.0,72600.0,73300.0,-0.68,296221.0,-2951447.0
18,74100.0,74500.0,73400.0,73800.0,0.0,725675.0,-2222288.0
19,73800.0,74100.0,73300.0,73800.0,0.0,-694761.0,-495999.0
20,73600.0,74500.0,73200.0,73800.0,0.54,-2076765.0,-561172.0
21,73500.0,73800.0,73100.0,73400.0,0.69,22702.0,-433896.0
22,72700.0,73800.0,72500.0,72900.0,-1.35,-1190759.0,-3159480.0
23,72100.0,73900.0,72000.0,73900.0,3.07,812363.0,-1596396.0
24,72200.0,72900.0,71600.0,71700.0,-1.65,-810198.0,-3272967.0
25,72400.0,73500.0,71900.0,72900.0,1.96,-2772092.0,-395278.0
26,70400.0,72100.0,70100.0,71500.0,2.58,-787542.0,-433438.0
27,70100.0,70500.0,69300.0,69700.0,0.29,-2666867.0,-3056390.0
28,68400.0,69900.0,68300.0,69500.0,2.51,-557183.0,694074.0
29,67100.0,68300.0,67100.0,67800.0,1.65,1463114.0,-1802497.0
30,68400.0,68600.0,66700.0,66700.0,-2.2,1066542.0,-11698090.0
31,68000.0,68400.0,67600.0,68200.0,0.29,-1440589.0,-1539532.0
32,66100.0,68000.0,66000.0,68000.0,2.1,-2276544.0,-1214373.0
33,67900.0,68300.0,66500.0,66600.0,-1.62,466158.0,-2506144.0
34,67900.0,69500.0,67000.0,67700.0,0.3,-3009197.0,-1052667.0
35,64800.0,67800.0,64700.0,67500.0,4.33,637477.0,215335.0
36,63900.0,65200.0,63900.0,64700.0,0.15,-1150454.0,-1754345.0
37,64100.0,64800.0,63900.0,64600.0,-0.31,-966779.0,-1013537.0
38,65700.0,66200.0,64700.0,64800.0,-1.37,372944.0,-2310858.0
39,67000.0,67000.0,65600.0,65700.0,-0.9,-1791090.0,685845.0
40,64000.0,66700.0,63900.0,66300.0,4.91,-404265.0,456517.0
41,61300.0,63200.0,61000.0,63200.0,3.61,2560165.0,5855092.0
42,61000.0,61400.0,60700.0,61000.0,-0.49,-3535683.0,1096783.0
43,60700.0,61400.0,60400.0,61300.0,1.83,2516456.0,4094943.0
44,60500.0,60500.0,59500.0,60200.0,0.0,-2203636.0,1227731.0
45,60700.0,60900.0,60100.0,60200.0,0.17,1011967.0,-428471.0
46,60700.0,60800.0,59600.0,60100.0,-0.33,-635502.0,1588999.0
47,59000.0,60300.0,58800.0,60300.0,3.08,2049526.0,3136355.0
48,58900.0,59000.0,57800.0,58500.0,-0.51,2521227.0,115619.0
49,57900.0,58900.0,57600.0,58800.0,2.44,1864007.0,551970.0
50,56400.0,57500.0,56000.0,57400.0,1.41,-807123.0,-1229922.0
51,58000.0,58000.0,56600.0,56600.0,-2.58,-2649034.0,-6285333.0
52,58200.0,58500.0,57500.0,58100.0,-1.53,-4546669.0,-2395759.0
53,59400.0,59400.0,58800.0,59000.0,-1.34,-2063514.0,-1748128.0
54,60300.0,60300.0,59500.0,59800.0,-0.99,-2725238.0,-166416.0
55,60400.0,61100.0,60100.0,60400.0,0.33,687782.0,99709.0
56,60400.0,60400.0,59800.0,60200.0,0.17,-58971.0,13198.0
57,60300.0,60500.0,59800.0,60100.0,-1.31,94692.0,-1195495.0
58,61200.0,61500.0,60600.0,60900.0,0.0,-461716.0,-1357944.0
59,60300.0,60900.0,60100.0,60900.0,1.5,1671130.0,1019852.0
60,59600.0,60200.0,59500.0,60000.0,0.84,899588.0,-994909.0
